OrganisationID¬OrganisationCode¬OrganisationName¬MetricName¬Value¬Text
18082¬NLL04¬Launceston General Hospital¬NHS Improvement patient safety notices¬¬Good - All alerts signed off where deadline has passed
18083¬NLL07¬Liskeard Community Hospital¬NHS Improvement patient safety notices¬¬Good - All alerts signed off where deadline has passed
18085¬NLL09¬Stratton Hospital¬NHS Improvement patient safety notices¬¬Good - All alerts signed off where deadline has passed
18090¬NLL16¬Falmouth Hospital¬NHS Improvement patient safety notices¬¬Good - All alerts signed off where deadline has passed
18093¬NLL19¬Poltair Hospital¬NHS Improvement patient safety notices¬¬Good - All alerts signed off where deadline has passed
18095¬NLL21¬St Mary's Hospital¬NHS Improvement patient safety notices¬¬Good - All alerts signed off where deadline has passed
18102¬NLT02¬North Somerset Community Hospital¬A&E performance¬100.00%¬Patients seen within 4 hours
18102¬NLT02¬North Somerset Community Hospital¬Percentage of patients waiting less than 18 weeks¬99%¬99% of patients waiting less than 18 weeks from referral
18102¬NLT02¬North Somerset Community Hospital¬NHS Improvement patient safety notices¬¬Good - All alerts signed off where deadline has passed
18142¬NMV01¬Kneesworth House¬Care Quality Commission inspection ratings¬2¬Good
18142¬NMV01¬Kneesworth House¬Care Quality Commission inspection ratings¬2¬Good
18142¬NMV01¬Kneesworth House¬Care Quality Commission inspection ratings¬2¬Good
18143¬NMV02¬Stockton Hall Hospital¬Care Quality Commission inspection ratings¬3¬Requires Improvement
18143¬NMV02¬Stockton Hall Hospital¬Care Quality Commission inspection ratings¬3¬Requires Improvement
18143¬NMV02¬Stockton Hall Hospital¬Care Quality Commission inspection ratings¬3¬Requires Improvement
18271¬NQ106¬Fryatt Hospital, Harwich¬A&E performance¬100.00%¬Patients seen within 4 hours
18271¬NQ106¬Fryatt Hospital, Harwich¬Choice of breakfast¬1¬Amongst the best
18271¬NQ106¬Fryatt Hospital, Harwich¬Choice of food¬95.19%¬95.19% Amongst the best
18271¬NQ106¬Fryatt Hospital, Harwich¬Food available between meals¬1¬
18271¬NQ106¬Fryatt Hospital, Harwich¬Fresh fruit available¬1¬
18271¬NQ106¬Fryatt Hospital, Harwich¬Menu approved by dietitian¬1¬
18271¬NQ106¬Fryatt Hospital, Harwich¬Patients assessed for blood clots¬98.71¬98.71% of patients assessed
18271¬NQ106¬Fryatt Hospital, Harwich¬Quality of food¬92.23%¬92.23% Amongst the best
18272¬NQ108¬Clacton Hospital¬A&E performance¬99.79%¬Patients seen within 4 hours
18272¬NQ108¬Clacton Hospital¬Choice of breakfast¬1¬Amongst the best
18272¬NQ108¬Clacton Hospital¬Choice of food¬95.19%¬95.19% Amongst the best
18272¬NQ108¬Clacton Hospital¬Food available between meals¬1¬
18272¬NQ108¬Clacton Hospital¬Fresh fruit available¬1¬
18272¬NQ108¬Clacton Hospital¬Menu approved by dietitian¬1¬
18272¬NQ108¬Clacton Hospital¬Patients assessed for blood clots¬98.71¬98.71% of patients assessed
18272¬NQ108¬Clacton Hospital¬Quality of food¬79.12%¬79.12% In the middle range  
18305¬NQM01¬Orthopaedics and Spine Specialist Hospital¬Care Quality Commission inspection ratings¬2¬Good
18305¬NQM01¬Orthopaedics and Spine Specialist Hospital¬Care Quality Commission inspection ratings¬2¬Good
18305¬NQM01¬Orthopaedics and Spine Specialist Hospital¬Care Quality Commission inspection ratings¬2¬Good
18305¬NQM01¬Orthopaedics and Spine Specialist Hospital¬Percentage of patients waiting less than 18 weeks¬95%¬95% of patients waiting less than 18 weeks from referral
18305¬NQM01¬Orthopaedics and Spine Specialist Hospital¬Friends and Family Test score: Inpatient¬100%¬Patients recommend this hospital. 48 responses
18305¬NQM01¬Orthopaedics and Spine Specialist Hospital¬Friends and Family Test score: Inpatient¬100%¬Patients recommend this hospital. 48 responses
18305¬NQM01¬Orthopaedics and Spine Specialist Hospital¬Patients assessed for blood clots¬100¬100% of patients assessed
18314¬NR510¬Lee Mill Hospital¬Choice of breakfast¬1¬Amongst the best
18314¬NR510¬Lee Mill Hospital¬Choice of food¬88.38%¬88.38% Amongst the best
18314¬NR510¬Lee Mill Hospital¬Food available between meals¬1¬
18314¬NR510¬Lee Mill Hospital¬Fresh fruit available¬1¬
18314¬NR510¬Lee Mill Hospital¬Percentage of patients waiting less than 18 weeks¬100%¬100% of patients waiting less than 18 weeks from referral
18314¬NR510¬Lee Mill Hospital¬Menu approved by dietitian¬1¬
18314¬NR510¬Lee Mill Hospital¬NHS Improvement patient safety notices¬¬Good - All alerts signed off where deadline has passed
18314¬NR510¬Lee Mill Hospital¬Quality of food¬95.57%¬95.57% Amongst the best
18317¬NR527¬Mount Gould Hospital¬Choice of breakfast¬1¬Amongst the best
18317¬NR527¬Mount Gould Hospital¬Choice of food¬91.85%¬91.85% Amongst the best
18317¬NR527¬Mount Gould Hospital¬Food available between meals¬1¬
18317¬NR527¬Mount Gould Hospital¬Fresh fruit available¬1¬
18317¬NR527¬Mount Gould Hospital¬Percentage of patients waiting less than 18 weeks¬100%¬100% of patients waiting less than 18 weeks from referral
18317¬NR527¬Mount Gould Hospital¬Menu approved by dietitian¬1¬
18317¬NR527¬Mount Gould Hospital¬NHS Improvement patient safety notices¬¬Good - All alerts signed off where deadline has passed
18317¬NR527¬Mount Gould Hospital¬Quality of food¬98.37%¬98.37% Amongst the best
18351¬NT202¬Nuffield Health, Bournemouth Hospital¬Care Quality Commission inspection ratings¬3¬Requires Improvement
18351¬NT202¬Nuffield Health, Bournemouth Hospital¬Care Quality Commission inspection ratings¬3¬Requires Improvement
18351¬NT202¬Nuffield Health, Bournemouth Hospital¬Care Quality Commission inspection ratings¬3¬Requires Improvement
18351¬NT202¬Nuffield Health, Bournemouth Hospital¬Choice of breakfast¬1¬Amongst the best
18351¬NT202¬Nuffield Health, Bournemouth Hospital¬Choice of food¬97.69%¬97.69% Amongst the best
18351¬NT202¬Nuffield Health, Bournemouth Hospital¬Food available between meals¬1¬
18351¬NT202¬Nuffield Health, Bournemouth Hospital¬Fresh fruit available¬1¬
18351¬NT202¬Nuffield Health, Bournemouth Hospital¬Percentage of patients waiting less than 18 weeks¬96%¬96% of patients waiting less than 18 weeks from referral
18351¬NT202¬Nuffield Health, Bournemouth Hospital¬Friends and Family Test score: Inpatient¬94%¬Patients recommend this hospital. 16 responses
18351¬NT202¬Nuffield Health, Bournemouth Hospital¬Friends and Family Test score: Inpatient¬94%¬Patients recommend this hospital. 16 responses
18351¬NT202¬Nuffield Health, Bournemouth Hospital¬Menu approved by dietitian¬1¬
18351¬NT202¬Nuffield Health, Bournemouth Hospital¬Quality of food¬99.30%¬99.30% Amongst the best
18352¬NT204¬Nuffield Health, Brentwood Hospital¬Care Quality Commission inspection ratings¬2¬Good
18352¬NT204¬Nuffield Health, Brentwood Hospital¬Care Quality Commission inspection ratings¬2¬Good
18352¬NT204¬Nuffield Health, Brentwood Hospital¬Care Quality Commission inspection ratings¬2¬Good
18352¬NT204¬Nuffield Health, Brentwood Hospital¬Choice of breakfast¬1¬Amongst the best
18352¬NT204¬Nuffield Health, Brentwood Hospital¬Choice of food¬95.11%¬95.11% Amongst the best
18352¬NT204¬Nuffield Health, Brentwood Hospital¬Food available between meals¬1¬
18352¬NT204¬Nuffield Health, Brentwood Hospital¬Fresh fruit available¬1¬
18352¬NT204¬Nuffield Health, Brentwood Hospital¬Percentage of patients waiting less than 18 weeks¬98%¬98% of patients waiting less than 18 weeks from referral
18352¬NT204¬Nuffield Health, Brentwood Hospital¬Friends and Family Test score: Inpatient¬98%¬Patients recommend this hospital. 48 responses
18352¬NT204¬Nuffield Health, Brentwood Hospital¬Friends and Family Test score: Inpatient¬98%¬Patients recommend this hospital. 48 responses
18352¬NT204¬Nuffield Health, Brentwood Hospital¬Menu approved by dietitian¬1¬
18352¬NT204¬Nuffield Health, Brentwood Hospital¬Health Improvement following groin hernia surgery: Generic quality of life questionnaire¬0.073¬Average
18352¬NT204¬Nuffield Health, Brentwood Hospital¬Health Improvement following hip replacement:  Condition specific quality of life questionnaire¬¬As expected
18352¬NT204¬Nuffield Health, Brentwood Hospital¬Health Improvement following knee replacement: Condition specific quality of life questionnaire¬¬As expected
18352¬NT204¬Nuffield Health, Brentwood Hospital¬Quality of food¬98.14%¬98.14% Amongst the best
18353¬NT205¬Nuffield Health, Brighton Hospital¬Care Quality Commission inspection ratings¬2¬Good
18353¬NT205¬Nuffield Health, Brighton Hospital¬Care Quality Commission inspection ratings¬2¬Good
18353¬NT205¬Nuffield Health, Brighton Hospital¬Care Quality Commission inspection ratings¬2¬Good
18353¬NT205¬Nuffield Health, Brighton Hospital¬Choice of breakfast¬1¬Amongst the best
18353¬NT205¬Nuffield Health, Brighton Hospital¬Choice of food¬96.89%¬96.89% Amongst the best
18353¬NT205¬Nuffield Health, Brighton Hospital¬Food available between meals¬1¬
18353¬NT205¬Nuffield Health, Brighton Hospital¬Fresh fruit available¬1¬
18353¬NT205¬Nuffield Health, Brighton Hospital¬Percentage of patients waiting less than 18 weeks¬67%¬67% of patients waiting less than 18 weeks from referral
18353¬NT205¬Nuffield Health, Brighton Hospital¬Friends and Family Test score: Inpatient¬95%¬Patients recommend this hospital. 20 responses
18353¬NT205¬Nuffield Health, Brighton Hospital¬Friends and Family Test score: Inpatient¬95%¬Patients recommend this hospital. 20 responses
18353¬NT205¬Nuffield Health, Brighton Hospital¬Menu approved by dietitian¬1¬
18353¬NT205¬Nuffield Health, Brighton Hospital¬Patients assessed for blood clots¬96.99¬96.99% of patients assessed
18353¬NT205¬Nuffield Health, Brighton Hospital¬Quality of food¬95.84%¬95.84% Amongst the best
18354¬NT206¬Nuffield Health, Bristol Hospital (Chesterfield)¬Care Quality Commission inspection ratings¬2¬Good
18354¬NT206¬Nuffield Health, Bristol Hospital (Chesterfield)¬Care Quality Commission inspection ratings¬2¬Good
18354¬NT206¬Nuffield Health, Bristol Hospital (Chesterfield)¬Care Quality Commission inspection ratings¬2¬Good
