,soldPrice,bednumber,propertyType,duration_free_not_lease,isNew,latitude,longitude
0,487000,4,Semi-Detached,1,0,51.38944579,-2.401028988
1,483000,4,Semi-Detached,1,0,51.39881181,-2.345813
2,285000,2,Semi-Detached,1,0,51.37393586,-2.390161504
3,250000,2,Semi-Detached,1,0,51.37945,-2.397521906
4,267000,3,Terraced,1,0,51.35879893,-2.383167824
5,252000,3,Semi-Detached,1,0,51.39658137,-2.394206405
6,170000,2,Terraced,1,0,51.35879893,-2.383167824
7,340000,3,Terraced,0,0,51.39301982,-2.34611381
8,301000,2,Terraced,1,0,51.39789218,-2.394792645
9,290000,2,Terraced,1,0,51.38064177,-2.385304449
10,209000,1,Terraced,1,0,51.40083831,-2.298663384
11,1550000,5,Terraced,1,0,51.38485554,-2.363856646
12,290000,3,Terraced,1,0,51.39554516,-2.38691
13,595000,2,Semi-Detached,1,0,51.37432074,-2.3479265590000002
14,330000,3,Semi-Detached,1,0,51.37159353,-2.396850455
15,260000,3,Semi-Detached,1,0,51.37343616,-2.3862926730000003
16,850000,6,Terraced,1,0,51.41166997,-2.3203160290000002
17,187500,2,Flat,0,0,51.39668131,-2.391217524
18,233000,2,Terraced,1,0,51.39391449,-2.395793233
19,427500,1,Terraced,1,0,51.38559703,-2.362511725
20,500000,4,Semi-Detached,1,0,51.39317457,-2.399207536
21,365500,3,Terraced,1,0,51.39023645,-2.35968844
22,315000,2,Terraced,1,0,51.37516462,-2.380172516
23,270000,3,Semi-Detached,1,0,51.3712156,-2.391589311
24,145000,1,Flat,0,0,51.36986022,-2.3962321159999997
25,289950,3,Terraced,1,0,51.36918072,-2.389718839
26,373000,3,Detached,1,0,51.37338817,-2.3926135090000002
27,525000,3,Detached,1,0,51.39181314,-2.331186346
28,417500,4,Detached,1,0,51.37437203,-2.391486956
29,290000,3,Semi-Detached,1,0,51.35234264,-2.37770026
30,308000,3,Terraced,1,0,51.40019558,-2.3943381180000003
31,1290000,2,Detached,1,0,51.38128339,-2.34384114
