,Unnamed: 0,soldPrice,bednumber,propertyType,duration_free_not_lease,isNew,latitude,longitude,nearest_hospital_distance
0,0,155000,2,Flat,0,0,51.286797647583896,-2.8209703724613195,0.021107121193093797
1,1,253000,3,Semi-Detached,1,0,51.288001747725716,-2.814496,0.014622637741194301
2,2,347500,4,Detached,1,0,51.2878153127419,-2.8130154937283303,0.013142322037302135
3,3,320000,4,Detached,1,0,51.286797580899496,-2.8222609415757995,0.022396968743133572
4,4,234000,2,Detached,1,0,51.2877990331569,-2.81017589126394,0.010303029032802948
5,5,219000,2,Terraced,1,0,51.287296000000005,-2.815401,0.015527435596354056
6,6,343000,4,Detached,1,0,51.28817749780461,-2.81135844080574,0.011483039704608138
7,7,151500,2,Flat,0,0,51.285478304392605,-2.8169299999999997,0.017064586800045748
8,8,580000,6,Terraced,1,0,51.28763967095549,-2.821185,0.021309429231468283
9,9,230000,2,Semi-Detached,1,0,51.2868358719655,-2.81936500999516,0.01950256229918622
10,10,168750,3,Semi-Detached,1,0,51.2878153127419,-2.8130154937283303,0.013142322037302135
11,11,220000,2,Detached,1,0,51.2858494310685,-2.81640787903017,0.01653363793041384
12,12,255000,3,Detached,1,0,51.2884198170593,-2.814346,0.014471089491689572
13,13,375000,4,Detached,1,0,51.2880970532874,-2.8086897704412697,0.0088156384786836
14,14,119000,2,Flat,0,0,51.2858494310685,-2.81640787903017,0.01653363793041384
15,15,260000,2,Detached,1,0,51.28817749780461,-2.81135844080574,0.011483039704608138
16,16,220000,2,Detached,1,0,51.2877990331569,-2.81017589126394,0.010303029032802948
17,17,449250,4,Semi-Detached,1,0,51.2864245386288,-2.81387997959378,0.01400868561043913
18,18,285000,3,Detached,1,0,51.2868099360781,-2.81793058113625,0.018069928131249184
19,19,120000,1,Flat,0,0,51.285478304392605,-2.8169299999999997,0.017064586800045748
20,20,355000,4,Terraced,1,0,51.28763967095549,-2.821185,0.021309429231468283
21,21,293500,4,Terraced,1,0,51.28562466821701,-2.82026116477877,0.020390331125812233
22,22,380000,4,Detached,1,0,51.28817749780461,-2.81135844080574,0.011483039704608138
23,23,210000,2,Semi-Detached,1,0,51.28653920781711,-2.8180691660815698,0.018199433528884035
24,24,263000,4,Terraced,1,0,51.285406557655705,-2.8180203573666094,0.018156811206430288
25,25,325000,4,Semi-Detached,1,0,51.28562466821701,-2.82026116477877,0.020390331125812233
26,26,165000,3,Semi-Detached,1,0,51.2853719069967,-2.8139617418485297,0.014103381601685923
27,27,95000,1,Flat,0,0,51.286797647583896,-2.8209703724613195,0.021107121193093797
28,28,360000,4,Detached,1,0,51.2880970532874,-2.8086897704412697,0.0088156384786836
29,29,292500,4,Detached,1,0,51.2877198974836,-2.81251191002167,0.012637240621302972
30,30,295995,3,Terraced,1,0,51.287296000000005,-2.815401,0.015527435596354056
31,31,345000,4,Terraced,1,0,51.287296000000005,-2.815401,0.015527435596354056
32,32,200000,3,Semi-Detached,1,0,51.286382972698796,-2.81339170043662,0.01351954625000316
33,33,118500,1,Flat,0,0,51.285478304392605,-2.8169299999999997,0.017064586800045748
34,34,225000,3,Terraced,1,0,51.285426813123294,-2.81898144646259,0.019116593370321646
35,35,252500,2,Detached,1,0,51.28817749780461,-2.81135844080574,0.011483039704608138
36,36,462500,4,Semi-Detached,1,0,51.2864245386288,-2.81387997959378,0.01400868561043913
37,37,215000,2,Semi-Detached,1,0,51.28634444921021,-2.8111683938056897,0.01129594904911073
38,38,255000,3,Semi-Detached,1,0,51.286053399844796,-2.81810355010988,0.018227823137512117
39,39,229000,2,Terraced,1,0,51.28763967095549,-2.821185,0.021309429231468283
40,40,373000,4,Detached,1,0,51.28817749780461,-2.81135844080574,0.011483039704608138
41,41,380000,4,Terraced,1,0,51.2858494310685,-2.81640787903017,0.01653363793041384
42,42,167000,2,Terraced,1,0,51.2858369816389,-2.81947628296967,0.019601952996050043
43,43,208000,3,Terraced,1,0,51.2877198974836,-2.81251191002167,0.012637240621302972
44,44,265000,4,Terraced,1,0,51.286797580899496,-2.8222609415757995,0.022396968743133572
45,45,155000,2,Flat,0,0,51.286797647583896,-2.8209703724613195,0.021107121193093797
46,46,120000,1,Flat,0,0,51.286797647583896,-2.8209703724613195,0.021107121193093797
47,47,355000,5,Terraced,1,0,51.287443978453396,-2.81855846290978,0.01868306068177148
48,48,82500,1,Flat,0,0,51.286797647583896,-2.8209703724613195,0.021107121193093797
49,49,215000,3,Semi-Detached,1,0,51.288001747725716,-2.814496,0.014622637741194301
50,50,393500,4,Terraced,1,0,51.2870582975768,-2.81713196876789,0.017263399576960096
51,51,85000,1,Flat,0,0,51.287443978453396,-2.81855846290978,0.01868306068177148
52,52,110000,2,Flat,0,0,51.2858494310685,-2.81640787903017,0.01653363793041384
53,53,177000,2,Terraced,1,0,51.28634444921021,-2.8111683938056897,0.01129594904911073
54,54,220000,4,Terraced,1,0,51.2865908916778,-2.8222429095932,0.02237319654535871
55,55,59450,1,Flat,0,0,51.286797647583896,-2.8209703724613195,0.021107121193093797
